scheme_code,scheme_name,category,scheme_type,fund_house
119172,Tata Ethical Fund -Direct Plan- Growth Option,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Tata Mutual Fund
119173,Morgan Stanley Liquid Fund - Direct Growth Plan,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119176,Navi 3 in 1 Fund-Direct Plan-Growth Option,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,Navi Mutual Fund
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Tata Mutual Fund
119181,Daiwa Liquid Fund - Direct - Growth,Income,Open Ended Schemes,Daiwa Mutual Fund
119182,Tata Mid Cap Growth Fund - Direct Plan Bonus(Growth),Income,Open Ended Schemes,Tata Mutual Fund
119184,Daiwa Treasury Advantage Fund - Direct - Growth,Income,Open Ended Schemes,Daiwa Mutual Fund
119186,Navi Ultra Short Term Fund - Direct Plan-Growth Option,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,Navi Mutual Fund
119189,Tata Equity Management Fund - Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119194,Daiwa Industry Leaders Fund - Direct - Growth,Income,Open Ended Schemes,Daiwa Mutual Fund
119196,Daiwa Government Securities Fund - Short Term Plan - Direct - Growth Option,Income,Open Ended Schemes,Daiwa Mutual Fund
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Tata Mutual Fund
119205,DSP Ultra Short Fund - Direct Plan - Growth,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,DSP Mutual Fund
119208,Morgan Stanley Multi Asset Fund- Plan A - Direct Growth Plan,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119212,DSP Small Cap Fund - Direct Plan - Growth,Equity Scheme - Small Cap Fund,Open Ended Schemes,DSP Mutual Fund
119215,Morgan Stanley Multi Asset Fund- Plan B - Direct Growth Plan,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,DSP Mutual Fund
119226,DSP Short Term Fund - Direct Plan - Growth,Debt Scheme - Short Duration Fund,Open Ended Schemes,DSP Mutual Fund
119227,Morgan Stanley Short Term Bond Fund - Direct Growth,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119231,Tata Value Fund -Direct Plan Growth Option,Equity Scheme - Value Fund,Open Ended Schemes,Tata Mutual Fund
119234,Tata Dividend Yield Fund-Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119239,DSP Strategic Bond Fund - Direct Plan - Growth,Debt Scheme - Dynamic Bond,Open Ended Schemes,DSP Mutual Fund
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,Equity Scheme - ELSS,Open Ended Schemes,DSP Mutual Fund
119243,Tata Infrastructure Fund -Direct Plan -Growth Option,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Tata Mutual Fund
119245,DSP BlackRock Technology.com Fund - Direct Plan - Growth,Income,Open Ended Schemes,DSP Mutual Fund
119247,DSP India T.I.G.E.R. Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,DSP Mutual Fund
119250,DSP Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,DSP Mutual Fund
119251,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,Solution Oriented Scheme - Retirement Fund,Open Ended Schemes,Tata Mutual Fund
119252,DSP US Specific Equity Omni FoF - Direct Plan - Growth,Other Scheme - FoF Overseas,Open Ended Schemes,DSP Mutual Fund
119255,Tata Retirement Savings Fund- Moderate Plan -Direct Plan-Growth Option,Solution Oriented Scheme - Retirement Fund,Open Ended Schemes,Tata Mutual Fund
119256,Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,Solution Oriented Scheme - Retirement Fund,Open Ended Schemes,Tata Mutual Fund
119259,Tata Indo-Global Infrastructure Fund-Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119269,Tata Growing Economies Infrastructure Fund Scheme A-Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119271,DSP World Agriculture Fund - Direct Plan - Growth,Other Scheme - FoF Overseas,Open Ended Schemes,DSP Mutual Fund
119273,Tata Growing Economies Infrastructure Fund Scheme B-Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119275,DSP Global Clean Energy Overseas Equity Omni FoF Direct Plan - Growth,Other Scheme - FoF Overseas,Open Ended Schemes,DSP Mutual Fund
119277,DSP World Gold Mining Overseas Equity Omni FoF - Direct Plan - Growth,Other Scheme - FoF Overseas,Open Ended Schemes,DSP Mutual Fund
119279,DSP World Mining Overseas Equity Omni FoF - Direct Plan - Growth,Other Scheme - FoF Overseas,Open Ended Schemes,DSP Mutual Fund
119283,L&T Overnight Fund - Direct Plan - Growth,Debt Scheme - Overnight Fund,Open Ended Schemes,L&T Mutual Fund
119291,L&T Flexicap Fund-Direct Plan-Growth,Equity Scheme - Multi Cap Fund,Open Ended Schemes,L&T Mutual Fund
119292,Union Flexi Cap Fund - Direct Plan - Growth Option,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Union Mutual Fund
119296,Tata Young Citizens' Fund [Upto 3 years]-Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119298,L&T Balanced Advantage Fund-Direct Plan-Growth,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,L&T Mutual Fund
119299,Tata Young Citizens' Fund [> 3 years upto 7 years]-Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119303,Union Liquid Fund - Direct Plan - Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Union Mutual Fund
119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,Equity Scheme - ELSS,Open Ended Schemes,Union Mutual Fund
119308,L&T India Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,L&T Mutual Fund
119311,Union Dynamic Bond Fund - Direct Plan - Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,Union Mutual Fund
119312,Tata Childrens Fund-Direct Plan-Growth Option,Solution Oriented Scheme - Children’s Fund,Open Ended Schemes,Tata Mutual Fund
119317,Baroda Pioneer PSU Bond Fund - Plan B (Direct) - Growth Option,Income,Open Ended Schemes,Baroda Pioneer Mutual Fund
119318,Union Short Term Fund - Direct Plan - Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,Union Mutual Fund
119323,Tata Contra Fund -Direct Plan Growth,Income,Open Ended Schemes,Tata Mutual Fund
119326,BARODA HYBRID EQUITY FUND - Plan B (Direct) - Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,Baroda Mutual Fund
119327,Union Asset Allocation Fund - Direct Plan - Growth Option,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,Union Mutual Fund
119330,Union KBC Asset Allocation Fund - Conservative Plan - Direct Plan - Growth Option,Balanced,Open Ended Schemes,Union Mutual Fund
119331,PineBridge India Equity Fund- Direct Plan- Growth Option,Income,Open Ended Schemes,PineBridge Mutual Fund
