Date,SMB,HML,WML,MF,RF
2009-03,-2.5683935,-4.1125485,-6.4161995,8.0992433,0.40790745
2009-04,4.11093632,4.57417694,-18.32733,14.6669482,0.3164296
2009-05,11.978853,5.26672025,-25.003876,33.5528291,0.26376624
2009-06,1.03671438,-5.0523317,-4.2970347,-3.6581932,0.28850832
2009-07,0.43771864,-1.5479068,0.30653772,8.96452857,0.27022877
2009-08,8.60147365,7.57732608,-8.5269217,3.35962769,0.27760016
2009-09,-1.2450157,1.56941877,0.5051525,6.51277657,0.27482047
2009-10,5.81493411,-3.2230677,8.7226363,-7.0211165,0.26008502
2009-11,-2.0087917,2.4372578,7.17469128,7.02465772,0.27326375
2009-12,3.58304072,3.52601868,-0.6818928,5.31130424,0.29383816
2010-01,4.78049225,-2.3098173,-0.2073085,-3.252147,0.28972525
2010-02,-0.9309545,-0.0137195,1.10926851,-1.5714488,0.30751618
2010-03,0.1529248,0.96006491,2.70836942,3.92568066,0.38161724
2010-04,6.25091959,3.32285407,1.52609347,0.58112499,0.33850933
2010-05,1.14828486,-5.1584145,-0.0341187,-4.5278338,0.35675083
2010-06,1.0660924,-3.2467107,-0.0851801,4.68304976,0.42233968
2010-07,1.54602047,1.29390139,4.4677627,0.68374993,0.43714859
2010-08,0.63698107,1.26387984,4.98816587,0.0001167,0.51755335
2010-09,-1.5857855,2.91559095,-1.216871,7.62945448,0.48847598
2010-10,2.74286464,5.83186427,3.00040801,-0.245726,0.50225167
2010-11,-1.2502015,-4.3382277,7.02240782,-5.6354655,0.57999937
2010-12,-2.8504539,1.34065425,-4.9689696,3.03463324,0.58514897
2011-01,-2.9282311,-3.1208025,5.01586352,-10.092881,0.58889038
2011-02,-1.437347,-1.7909889,3.03096195,-5.2471472,0.53178932
2011-03,-1.5260812,-2.042561,-0.0591176,7.02340607,0.59188117
2011-04,4.69351096,4.05303774,-2.192733,0.40905386,0.55995831
2011-05,-1.5990766,-0.4911589,5.341818,-2.9028648,0.67199227
2011-06,0.56390426,-4.2976866,5.03698679,-0.4120664,0.65034715
2011-07,5.57372674,-1.7794313,3.79848061,-2.4000049,0.62494547
2011-08,-2.8740827,-1.7763846,11.5620812,-8.2359364,0.706058
2011-09,0.63181377,-0.4996522,-1.6098356,-1.5885131,0.68713129
2011-10,-2.6231182,0.63136059,-0.5665801,4.02897245,0.69637706
2011-11,-1.8351791,-3.1255698,7.99605639,-9.6567765,0.69475958
2011-12,-3.1436547,-0.4563969,6.25420494,-5.9578033,0.67829825
2012-01,-2.5424493,14.0830589,-17.952148,10.7669013,0.72391802
2012-02,2.75214964,-3.8171672,-1.9059743,4.30492599,0.67932943
2012-03,1.08363951,-4.4441738,9.32008608,-3.1636927,0.71205443
2012-04,3.96673361,-2.8465804,2.03158913,-1.5037219,0.71028408
2012-05,-0.1545534,-3.7645482,7.08879538,-6.3201022,0.68798165
2012-06,-0.3352758,-1.192987,-6.0130434,4.85500805,0.63366259
2012-07,1.9295301,-4.1273077,4.92173621,-1.5736412,0.69531402
